date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph)
2009-05-27,48.8,60.0,32.8,30.0,3.4,5.1,338.0,1.62,65.8,30.4,93.0,21.0,30.112,29.872,26.5
2009-05-28,49.7,60.0,34.6,30.0,2.9,4.3,19.0,1.66,66.4,33.2,90.0,23.0,30.186,29.922,16.1
2009-05-29,53.1,56.0,35.2,30.1,3.1,4.8,349.0,1.66,70.4,34.3,89.0,22.0,30.211,29.925,21.9
2009-05-30,53.9,58.0,38.3,29.9,3.1,5.0,287.0,1.68,67.8,42.6,78.0,27.0,30.048,29.829,17.3
2009-05-31,56.3,52.0,37.8,29.8,6.0,8.6,277.0,1.68,69.9,46.3,78.0,24.0,29.864,29.683,18.4
2009-06-01,50.6,77.0,43.3,29.8,2.3,3.4,301.0,0.13,61.2,41.6,92.0,51.0,29.95,29.731,13.8
2009-06-02,42.2,88.0,38.9,30.1,3.4,5.3,75.0,0.24,48.0,39.2,93.0,72.0,30.3,29.829,13.8
2009-06-03,48.3,75.0,40.4,30.1,4.7,6.5,43.0,0.26,62.9,39.6,91.0,39.0,30.244,29.942,19.6
2009-06-04,57.1,51.0,35.2,29.9,4.9,7.8,300.0,0.26,71.6,40.3,84.0,14.0,30.088,29.811,20.7
2009-06-05,56.5,53.0,35.9,29.7,4.8,7.3,251.0,0.26,71.5,40.1,89.0,17.0,29.887,29.388,25.3
2009-06-06,59.0,23.0,20.7,29.5,14.4,20.3,266.0,0.27,66.8,46.0,46.0,14.0,29.594,29.392,31.1
2009-06-07,48.4,47.0,27.2,29.7,6.9,10.1,265.0,0.27,61.0,33.4,78.0,20.0,29.831,29.526,35.7
2009-06-08,47.8,75.0,39.9,29.8,4.6,6.5,32.0,0.33,59.3,38.5,91.0,36.0,29.879,29.74,17.3
2009-06-09,50.9,65.0,37.7,29.8,4.3,6.4,278.0,0.33,62.6,40.5,93.0,27.0,29.829,29.708,21.9
2009-06-10,51.3,69.0,40.0,29.7,4.8,7.2,32.0,0.64,61.8,43.1,92.0,29.0,29.82,29.623,16.1
2009-06-11,48.9,72.0,39.3,29.8,5.3,7.5,258.0,0.75,60.2,41.1,93.0,37.0,29.893,29.699,21.9
2009-06-12,49.3,70.0,39.1,29.9,3.7,5.7,350.0,0.8,60.4,36.5,93.0,37.0,29.989,29.798,24.2
2009-06-13,55.4,56.0,38.7,29.8,3.6,5.6,294.0,0.8,68.6,42.0,85.0,20.0,30.014,29.666,18.4
2009-06-14,55.1,52.0,36.1,29.7,4.4,6.8,174.0,0.81,68.3,40.5,82.0,18.0,29.89,29.658,21.9
2009-06-15,49.9,68.0,38.3,29.8,4.4,6.7,272.0,0.92,63.1,38.6,93.0,32.0,29.931,29.703,28.8
2009-06-16,51.3,66.0,37.3,29.9,3.1,4.7,300.0,0.93,73.9,34.7,93.0,18.0,29.981,29.76,20.7
2009-06-17,57.3,50.0,35.6,29.7,4.6,7.1,277.0,0.93,73.2,39.6,87.0,18.0,29.908,29.573,20.7
2009-06-18,58.7,39.0,32.4,29.6,7.0,10.4,266.0,0.93,71.3,42.3,69.0,19.0,29.711,29.546,25.3
2009-06-19,58.1,44.0,35.8,29.7,5.2,8.1,255.0,0.93,68.4,46.7,61.0,27.0,29.78,29.599,21.9
2009-06-20,54.5,70.0,44.6,29.6,2.2,3.6,248.0,0.98,64.3,46.1,92.0,49.0,29.739,29.543,18.4
2009-06-21,61.4,41.0,36.0,29.6,8.2,11.5,243.0,0.98,73.7,49.9,75.0,19.0,29.69,29.511,27.6
2009-06-22,61.2,52.0,38.9,29.7,5.2,7.7,208.0,0.98,77.0,39.8,89.0,14.0,29.819,29.609,26.5
2009-06-23,60.0,60.0,43.1,29.8,3.5,4.9,64.0,1.01,76.5,41.1,93.0,22.0,29.895,29.66,19.6
2009-06-24,62.8,53.0,42.9,29.9,4.3,5.6,26.0,1.01,78.6,42.8,88.0,19.0,29.958,29.774,13.8
2009-06-25,61.0,66.0,48.5,29.8,4.9,5.6,4.0,1.3,78.1,47.3,88.0,31.0,29.944,29.683,13.8
